Site,Transect,surveyor,ACER,OFAV,Conch,Tires,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,
1124,T3,,0,0,0,0,0.5 H,0.2 H,0.3 H,2 H,0.1 H,0.8 H,0.1 H,0.4 H,5 S,0.2 H,
1124,T4,,0,0,0,0,0.2 H ,0.4 H,0.5 H,0.8 H,2.4 S,0.3 H,0.2 H,0.5 H,1 H,5 S,
1127,T3,,0,1,0,0,0.5 H,1.5 H,3.5 H,1.2 H, 0.1 H,0.1 H,1.3 H,0.5 H,5 S,1 H,
1127,T4,,0,0,0,0,0.2 H,2 S,1.5 H,2.5 S,0.2 H,0.2 H,0.4 H,0.5 H,6 S,2 H,
1128,T3,,0,0,0,0,0.2 H,1.2 H,0.2 H,0.3 H,0.5 H,0.5 H,0.2 H,0.2 H,0.3 H,0.5 H,
1128,T4,,0,0,0,0,0.2 H,0.2 H,0.1 H,0.1 H,0.3 H,0.5 H,0.1 H,0.1 H,1.8 S,1 H,
1130,T3,MS,0,0,0,0,.3 H,.1 H,.2 H,.1 H,0 H,.1 H,.2 H,.1 H,.1 H,.2 H,
1130,T4,MS,0,0,0,0,.3 H,.1 H,.6 H,.5 H,.5 H,.1 H,.1 H,.8 H,.1 H,.2 H,
1131,T3,,0,0,0,0,0.2 H,2.5 S,0.6 H,3 S,0.2 H,1.6 H,0.4 H,0.7 H,1.5 H,2 H,
1131,T4,,0,0,0,0,4.5 S,0.1 H,8 S,0.1 H,0.2 H,0.1 H,0.1 H,0.1 H,2 H,3 H,
1132,T3,,0,0,0,0,0.4 H,0.3 H,0.2 H,1.0 S,0.3 H,0.1 H,2.0 S,0.5 H,1.0 H,0.2 H ,
1132,T4,,0,0,0,0,0.3 H,0.1 H,0.8 S,1.0 H,0.2 H,0.5 H,0.8 H,0.3 H,0.1 H,0.4 H,
1133,T3,,0,0,0,0,0.3 H,0.3 H,0.5 H,1 H,0.1 H,1.2 H,0.5 H,0.2 H,0.3 H,0.5 H,
1133,T4,,0,0,0,0,2 H,0.2 H,1.1 H,0.5 H,0.5 H,0.3 H,0.5 H,0.2 H,0.1 H,0.1 H,
1134,T3,MS,0,0,0,0,0 H,.3 H,.4 H,.3 H,.4 H,.5 H,.8 H,.6 H,.4 H,.3 H,
1134,T4,MS,0,0,0,0,4 S,1.5 S,.3 S,2 S,.5 S,.3 H,.1 H,0 H,.2 H,.3 H,
1137,T3,,0,0,0,0,0.1 H,0.1 H,0.1 H,0.3 H,0.3 H,0.1 H,0.1 H,0.5 H,0 H,0.2 H,
1137,T4,,0,0,0,0,0 H,0.6 H,0.4 H,0.1 H,0.3 H,1 H,0.4 H,0.1 H,7 S,0.1 H,
1138,T3,CJ,0,0,0,0,0.2 H,.01 H,.5 H,1.2 S,0.1 H,.2 H,0.5 H,0.3 H,0.1 H,0.4 H,
1138,T4,MS,0,0,0,0,.2 H,.1 H,.5 H,1.2 S,.1 H,.2 H,.3 H,.3 H,.1 H,.4 H,
1139,T3,,0,0,0,0,2 H,5 H,5 H,2 H,2.1 H,6.2 H,2 H,1 H,0.8 H,3.2 H,
1139,T4,,0,0,0,0,5.2 S,5 S,7 S,8.5 S,8 S,7 S,2 H,5 H,2.5 H,2 H,
1141,T3,CJ,0,0,0,0,0.1 H,0.2 H,0.2 H,1 S,2 S,0.3 H,1 S,2 S,0 H,1 S,
1141,T4,MS,0,0,0,0,.1 H,.1 S,0 H,4 S,.3 H,.2 H,.1 H,4 S,.4 S,0 H,
2111,T3,,0,0,0,0,1 H,4 S,0.7 H,0.1 H,0 H,0.2 H,0.1 H,0.3 H,0.1 H,0.5 H,
2111,T4,,0,0,0,0,2 S,6 S,0.5 H,2 S,0 H,0.5 H,1 H,8.2 S,0.1 H,1 H,
2112,T3,,1,0,0,0,0.2 H,0.0 H,0.0 H,0.2 H,0.1 H,4 S,0.1 H,0.3 H,0.1 H,0.7 H,
2112,T4,,1,0,0,0,0.1 H,0.3 H,0.4 H,0.3 H,1.3 H,0.3 H,0.4 H,0.2 H,0.1 H,0.9 H,
2115,T3,,0,0,0,0,1 H,2.2 H,1.2 H,0.5 H,0.4 H,1 H,0.3 H,1.2 H,0.5 H,0.8 H,
2115,T4,,0,1,0,0,0.5 H,2 H,0.5 H,0.3 H,0.5 H,0.8 H,0.2 H,0.8 H,0.8 H,0.5 H,
2116,T3,,0,0,0,0,3 S,0.1 H,2 H,0.2 H,0.3 H,0.8 H,1 H,0.6 H,0.2 H,0.2 H,
2116,T4,,0,0,0,0,0.1 H,0.1 H,0.0 H,0.0 H,0.0 H,0.2 H,0.2 H,0.5 H,0.0 H,3.0 S,
2117,T3,,0,0,0,0,0.2 H,1.3 S,4.5 S,0.1 H,0.1 H,0.2 H,3 S,0.2 H,0.1 H,0.1 H,
2117,T4,,0,0,0,0,0.1 H,0.1 H,0.5 H,0.3 H,0 H,0.5 H,0.1 H,1.5 H,4 S,0.3 H,
2120,T3,,0,0,0,0,0.2 H,0.4 H,0.2 H,0.5 H,0.5 H,0.6 H,1 H,0.4 H,1 H,0.2 H,
2120,T4,,0,0,0,0,0.8 H,1 H,0.4 H,0.5 H,0 H,0.2 H,0.4 H,1 H,0.5 H,1 H,
121-ASK-SS,T3,,0,0,0,0,1.5 H,1.2 H,4.1 H,2.1 H,0.2 H,1 H,7.9 S,1.9 H,1.8 H,2.2 H,
121-ASK-SS,T4,,0,0,0,0,7.8 S,5.4 S,1.2 H,1.5 H,0.5 H,7.2 S,1.9 S,5.9 S,4.1 S,2.3 H,
ESA2,T3,,4,0,0,0,0.5 H,0.8 H,0.2 H,0.6 H,0.2 H ,0.5 H,0.8 H,0.2 H,0.2 H,0.3 H,
ESA2,T4,,5,0,0,0,0.3 H,0.4 H,0.2 H,0.3 H,0.3 H,0.2 H,0.1 H,0.3 H,0.3 H,0.5 H,
IRN1-110,T3,,0,0,0,0,0.5 H,1.2 H,0.3 H,0.5 H,0.8 H,0.6 H,0.2 H,1.2 H,1.8 H,5.5 H,
IRN1-110,T4,,0,0,0,0,4.5 S,1.2 H,0.4 H,1.2 H,0.8 H,3.5 S,0.8 H,4.0 S,1.2 H,0.4 H,
IRN1-410,T3,,0,0,0,0,0.1 H,1 H,0.2 H,0.2 H,0.1 H,0.1 H,0.4 H, 0.1 H ,0.2 H,0.2 H,
IRN1-410,T4,,0,0,0,0,0.3 H,0.4 H,0.5 H,4 S,0.3 H,0.4 H,0.1 H,0.6 H,0.4 H,0.3 H,
IRN2-410,T3,,0,0,0,0,0.4 H,0.9 H,0.4 H,1.2 H,0.2 H,0.5 H,0.8 H,0.6 H,0.4 H,0.6 H,
IRN2-410,T4,,0,0,0,0,0.5 H,0.4 H,0.2 H,0.3 H,0.5 H,0.2 H,0.3 H,0.1 H,0.2 H,0.2 H,
IRN3-110,T3,,0,0,0,0,0.5 H,0 H,0.3 H,0 H,5 S,0.5 H,0.8 H,0 H,0.5 H,0.2 H,
IRN3-110,T4,,0,0,0,0,0 H,0.5 H,0.2 H,0.1 H,0.5 H,0.5 H,1.8 H,0.2 H,9 S,0.2 H,
IRN3-210,T3,,0,0,0,0,0.6 H,0.4 H,0.3 H,0.5 H,0.2 H,0 H,0.3 H,0.8 H,0.8 H,0.2 H,
IRN3-210,T4,,0,0,0,0,0.5 H,0.1 H,0.5 H,1 H,2.5 H,0.1 H,2 H,6 S,2 H,2 S,
IRN3-410,T3,MS,0,0,0,0,3.6 S,2.4 S,.3 H,1.5 S,.4 H,.3 H,.6 H,.3 H,.5 H,0 H,labeled IRN4-110 
IRN3-410,T4,MS,0,0,0,0,.8 H,.2 H,.4 H,.2 H,1.5 S,.4 H,.1 H,.4 H,.3 H,.5 H,labeled IRN4-110 
IRN4-110,T3,,0,0,0,0,0.4 h,0.3h,1.1h,0.3h,2 turf,1.1h,0.3h,0.2h,2.1 turf,1.2h,
IRN4-110,T4,,0,0,0,0,0.2 H,0.3 H,0.3 H,1.5 S,0.4 H,0.5 H,0.1 H,0.1 H,1.5 S,0.2 H,
IRN4-210,T3,,0,0,0,0,3 H,0.2 H,3 H,0.5 H,0.5 H,0.1 H,0.2 H,0.4 H,0 H,0.2 H,
IRN4-210,T4,,0,0,0,0,0.1 H,0.1 H,2 H,0.5 H,0 H,0 H,0.3 H,0.1 H,0.2 H,0.1 H,
IRN4-410,T3,MS,0,0,0,0,.3 H,2.2 S,1.4 S,.2 H,.3 H,.1 H,.2 H,1.2 S,.3 H,.1 H,
IRN4-410,T4,MS,0,0,0,0,.4 H,.1 H,.3 H,.1 H,.3 H,.1 H,.2 H,0 H,5 S,.3 H,
IRS1-110,T3,XS,0,0,1,0,1.2 H,0.3 H,2 H,0.3 H,3 S,0.3 H,3.5 S,0.7 H,0 H,2.5 H,
IRS1-110,T4,,0,0,3,0,0.5 H,0 H,0.2 H,0.5 H,0.5 H,0.2 H,1.5 H,0.5 H,0.3 H,0.4 H,
IRS1-210,T3,MS,0,0,0,0,.5 H,3 S,.2 H,2 S,.3 H,.1 H,.3 H,.1 H,1.3 S,1.1 S,
IRS1-210,T4,MS,0,0,0,0,.1 H,.1 H,.2 H,.1 H,.1 H,.1 H,.1 H,.3 H,.2 H,.2 H,
IRS1-310,T3,,0,0,0,0,0.1 H,0.3 H,4.5 S,0.2 H,2.5 S,0.4 H,0.2 H,1.5 S,0.6 H,0.4 H,
IRS1-310,T4,,0,0,1,0,0.1 H,2.5 S,0.2 H,1.3 H,2 H,0.2 H,0.8 H,0.2 H,0.3 H,1.1 H,
IRS1-810,T3,,1,0,0,0,0.4 H,0.4 H,0.5 H ,0.5 H,0 H,0.1 H,0.2 H,0.2 H,0.3 H,0.5 H,
IRS1-810,T4,,2,0,0,0,0.2 H,0.7 H,0.6 H,0.3 H,0.1 H,0.4 H,0.6 H,0.5 H,0.4 H,0.5 H,
IRS2-110,T3,,0,0,0,0,0 H,.7 H ,0.5 H,1 S,.2 H,.4 H,0 H,1.4 S,.2 H,2.5 S,
IRS2-110,T4,MS,0,0,6,0,.5 H,.4 H,.5 H,.2 H,.3 H,.2 H,.1 H,1 S,.5 S,.1 H,
IRS2-310,T3,,0,0,0,0,0.4 H,0.2 H,4.5 S,0.3 H,0.8 H,0.2 H,1.5 H,1 H,3 S,0.5 H,
IRS2-310,T4,,0,0,0,0,0.8 H,0 H,2 H,1 H,0.3 H,0.5 H,0.3 H,1 H,0.2 H,0.5 H,
IRS3-110,T3,MS,0,0,0,0,0 H,.3 H,.2 H,.3 H,2.3 S,.5 S,1.3 S,.2 H,.5 H,.3 H,
IRS3-110,T4,MS,0,0,0,0,.3 H,.5 H,.5 h,.1 H,.5 H,.2 H,1.6 S,.2 H,.1 H,1.1 S,
IRS3-210,T3,MS,0,0,0,0,0 H,.1 H,.4 H,.3 H,.8 H,.4 H,.1 H,.2 H,.3 H,.11 S,
IRS3-210,T4,MS,0,0,0,0,2.9 S,.3 H,.2 H,0 H,.1 H,0 H,.2 H,.5 H,.2 H,.1 H,
IRS3-310,T3,MS,0,0,0,0,1.5 S,.2 H,.1 H ,.11 S,3 S,2.5 S,0 H,.3 H,.2 H,.5 H,
IRS3-310,T4,MS,0,0,0,0,2 S,.2 H,.1 H ,.1 H,.3 H,.2 H,.2 H,.2 H,.3 H,.1 H,
IRS4-110,T3,,0,0,0,0,0.4 H,2 S,0 H,0 H,0.2 H,0.4 H,0.3 H,0.1 H,0.1 H,0.2 H,
IRS4-110,T4,,0,0,0,0,6 S,5.5 S,5 S,1 H,0.2 H,5 S,2 S,4 S,0 H,0.2 H,
IRS4-210,T3,,0,0,0,0,0 H,0.4 H,0.1 H,0.6 H,0.1 H,0.2 H,0.4 H,0.1 H,0.2 H,0.3 H,
IRS4-210,T4,,0,0,0,0,0.3 H,0.3 H,0.3 H,2.8 H,3 H,0.3 H,0.3 H,0.3 H,0 H,0.2 H,
IRS4-310,T3,,0,0,0,0,0.1 H,0.7 H,0.8 H,1.5 H,0.1 H,0.1 H,0.2 H,0.2 H,2 H,3 H,
IRS4-310,T4,,0,0,0,0,0.2 H,0.2 H,0.2 H,0.4 H,0.4 H,0.3 H,0.2 H,2.8 H,0.8 H,0.2 H,
NA,T3,,0,0,0,0,0.3 H,0.5 H,0.5 H,0.5 H,0.1 H,0.2 H,0.4 H,0.2 H,0.1 H,0.2 H,
NA,T4,,0,0,0,0,0.2 H,0.3 H,0.2 H,0.1 H,0.3 H,0.2 H,0.4 H,0.3 H,0.1 H,0.1 H,
R2N1-110,T3,,0,0,0,0,0.2 H,1 H,0.1 H,0.2 H,0.8 H,0 H,0.3 H,1 H,0.3 H,0.2 H,
R2N1-110,T4,,0,0,0,0,0.3 H,0.8 H,1.5 H,0.5 H,0.5 H,3 S,9 S,0.3 H,0.1 H,0.5 H,
R2N1-210,T3,,0,0,0,0,0 H,0 H,0 (sponge),1 S,.5 S,1 S,.5 S,1 S,3 S,4 S,
R2N1-210,T4,MS,0,0,0,0,0.4 s,.2 s,0.3s,0.5s,.1 s,.4 s,.3 S,.4 S,.3 S,.2 S,
R2N1-410,T3,ASK,0,0,0,0,0.5,7.1 sand,0.1,0.2,1.2,0.1,1.2 algae,1.2,0.2,0.3,
R2N1-410,T4,AN,0,0,0,0,0.4 H,0.1 H,0.2 H,0.3 H,0.3 H,0.2 H,8 S,0.1 H,0.2 H,0.2 H,
R2N2-210,T3,ASK,0,0,0,0,1.8,2,0.8,1.1,1.2,7.0 sand,0.4,0.1,1,0.2,
R2N2-210,T4,,0,0,0,0,0.3 H,0.8 H,2 H,1 H,0.2 H,0.2 H,0.8 H,Sand,Sand ,Sand,
R2S1-110,T3,,0,0,0,0,0.3 H,0.2 H,0.1 H,0.1 H,0.1 H,0.1 H,0.1 H,0.1 H,0 H,0.1 H,
R2S1-110,T4,,0,0,0,0,0.3 H,0.3 H,0.2 H,0.1 H,0.5 H,0.1 H,0.2 H ,0. 1 H,0.1 H,0.3 H,
R2S1-210,T3,,0,0,0,0,0.3 H,0.5 H,0.1 H,0.2 H,0.1 H,0.8 H,0.1 H,0.1 H,0.1 H,0.2 H,
R2S1-210,T4,,0,0,0,0,0.2 H,0.1 H,0.2 H,0.2 H,0.5 H,0.5 H,0.5 H,0.6 H,0.5 H,0.5 H,
WPLG-Acer,T3,,4,0,0,0,1.5 S,0.3 H,0.1 H,0.6 H,0.5 H,0.2 H,0.3 H,0.2 H,0.1 H,0.4 H,
WPLG-Acer,T4,MS,X,0,0,0,2 S,.2 H,.4 H,1.8 S,.1 H,.9 S,.3 H,6 S,1.2 S,.3 H,