Site,Transect,surveyor,ACER,OFAV,Conch,Tires,small SSID,small SRAD,small PAST,small PPOR,small SINT,small SBOU,small AAGA,small MAUR
1124,T1,,0,0,0,0,5,2,0,0,1,0,0,0
1124,T2,,0,0,0,0,10,1,0,0,1,0,0,0
1127,T1,,X,0,0,0,79,1,3,0,0,0,0,0
1127,T2,CAJ,0,0,3,0,10,14,0,0,0,0,0,0
1128,T1,,0,0,0,0,26,11,1,0,1,0,0,0
1128,T2,,0,0,0,0,7,8,3,1,0,0,0,0
1130,T1,,0,0,4,0,5,1,0,1,0,0,0,0
1130,T2,,0,0,10,0,0,9,0,0,0,0,0,0
1131,T1,,0,0,0,0,0,13,0,0,0,0,0,0
1131,T2,,0,0,0,0,0,25,0,0,0,0,0,0
1132,T1,,0,0,1,0,0,15,0,1,0,0,0,0
1132,T2,,0,0,0,0,0,16,1,4,0,0,0,0
1133,T1,,0,0,1,0,2,2,0,0,0,0,0,0
1133,T2,,0,0,0,0,5,0,0,0,0,0,0,0
1134,T1,,0,1,0,0,1,5,0,0,10,0,0,0
1134,T2,,0,0,0,0,3,8,3,0,0,0,0,0
1137,T1,,0,0,0,0,43,0,1,1,0,0,0,0
1137,T2,,0,0,1,0,9,0,0,0,0,0,0,0
1138,T1,,1,0,0,0,0,8,0,1,0,0,0,0
1138,T2,MS,1,0,0,0,1,11,1,0,0,0,0,0
1139,T1,,0,0,1,0,0,16,0,14,0,0,0,0
1139,T2,,0,0,1,0,52,1,0,10,0,0,0,0
1141,T1,,0,0,1,0,3,9,4,8,0,0,0,0
1141,T2,MS,0,0,0,0,2,2,4,0,3,0,0,0
2111,T1,,0,0,0,0,39,6,0,18,0,0,0,0
2111,T2,,0,0,0,0,29,0,0,9,0,0,0,0
2112,T1,,1,0,1,0,17,0,2,0,0,0,0,0
2112,T2,,1,0,0,0,14,8,1,0,0,0,0,0
2115,T1,,0,0,1,0,4,1,1,3,0,0,0,0
2115,T2,,0,0,0,0,6,1,1,6,0,0,0,0
2116,T1,,0,0,2,0,0,11,0,0,0,0,0,0
2116,T2,MH,0,0,0,0,0,0,0,0,0,0,0,0
2117,T1,,X,0,0,0,40,2,0,8,0,0,0,0
2117,T2,,0,0,0,0,1,0,0,0,0,0,0,0
2120,T1,,0,0,0,0,5,0,1,1,2,0,0,0
2120,T2,,0,0,0,0,0,3,0,0,0,0,0,0
121-ASK-SS,T1,,0,0,0,0,12,1,0,0,0,0,0,0
121-ASK-SS,T2,,0,0,0,0,3,2,0,0,0,0,0,0
ESA2,T1,,X,0,0,0,3,0,0,0,0,0,0,0
ESA2,T2,,7,0,0,0,0,2,0,0,0,0,0,0
IRN1-110,T1,,0,0,1,0,32,0,0,0,4,0,0,0
IRN1-110,T2,,0,0,0,0,20,2,0,0,0,0,0,0
IRN1-410,T1,,0,0,0,0,27,0,0,0,0,0,0,0
IRN1-410,T2,,0,0,0,0,30,0,0,0,0,0,0,0
IRN2-410,T1,,0,0,0,0,20,0,1,0,1,0,0,0
IRN2-410,T2,,0,0,0,0,13,10,0,0,0,0,0,0
IRN3-110,T1,,0,0,0,0,2,1,1,0,1,0,3,0
IRN3-110,T2,,0,0,1,0,12,2,0,1,1,0,0,0
IRN3-210,T1,,0,0,0,0,1,1,0,1,1,0,0,0
IRN3-210,T2,,0,0,0,0,5,0,0,0,0,0,0,0
IRN3-410,T1,Xtina,0,2,0,0,1,7,0,0,1,0,0,0
IRN3-410,T2,CJ,0,0,1,0,6,6,1,0,0,0,0,0
IRN4-110,T1,,0,0,0,0,5,0,0,0,0,0,0,0
IRN4-110,T2,,0,0,0,0,8,0,0,0,0,0,0,0
IRN4-210,T1,,0,0,0,0,2,0,0,0,0,1,0,0
IRN4-210,T2,,0,0,0,0,16,5,0,1,1,0,0,0
IRN4-410,T1,,0,0,1,0,3,2,0,0,0,2,0,0
IRN4-410,T2,,0,0,0,0,1,5,0,0,0,0,0,0
IRS1-110,T1,,0,0,7,0,26,0,2,0,1,1,0,0
IRS1-110,T2,,0,0,5,9,9,9,0,0,0,0,0,0
IRS1-210,T1,,0,0,0,0,25,2,0,0,0,0,0,0
IRS1-210,T2,,0,0,0,0,0,17,0,1,0,0,0,0
IRS1-310,T1,,0,0,0,0,0,1,0,0,4,0,0,0
IRS1-310,T2,,0,0,3,0,12,0,0,0,0,0,0,0
IRS1-810,T1,,X,0,0,0,3,0,1,3,0,0,0,0
IRS1-810,T2,,X,0,0,0,2,4,0,0,0,0,0,0
IRS2-110,T1,CJ,0,0,7,0,10,16,0,0,0,0,0,0
IRS2-110,T2,MS,0,0,6,0,6,0,2,0,0,0,0,0
IRS2-310,T1,,0,0,1,0,12,0,0,0,1,0,0,0
IRS2-310,T2,,0,0,1,0,1,0,0,0,2,0,0,0
IRS3-110,T1,,0,0,0,0,11,2,0,0,0,0,0,0
IRS3-110,T2,,0,0,0,0,10,6,0,0,0,0,0,0
IRS3-210,T1,,0,0,1,0,11,2,4,0,0,0,0,0
IRS3-210,T2,,0,0,0,0,8,6,1,0,0,0,0,0
IRS3-310,T1,,0,1,0,0,9,3,0,0,1,1,0,0
IRS3-310,T2,,0,0,0,0,3,2,0,0,0,0,0,0
IRS4-110,T1,,0,0,0,0,5,7,1,0,1,0,0,1
IRS4-110,T2,,0,0,1,0,5,0,1,0,1,0,0,0
IRS4-210,T1,,0,0,0,0,18,0,0,0,1,0,0,0
IRS4-210,T2,MH,0,0,0,0,16,0,1,0,2,1,0,0
IRS4-310,T1,,0,0,0,0,11,3,0,0,0,1,0,0
IRS4-310,T2,,0,0,0,0,5,0,1,0,0,0,0,0
NA,T1,,0,0,0,0,94,3,2,0,2,0,0,0
NA,T2,,0,0,0,0,23,2,1,0,0,0,0,0
R2N1-110,T1,,0,0,0,0,31,5,1,0,1,0,0,0
R2N1-110,T2,,0,0,0,0,7,0,1,2,0,0,0,0
R2N1-210,T1,,0,0,0,0,20,4,1,0,0,0,0,0
R2N1-210,T2,MS,0,0,0,0,9,2,0,0,1,0,0,0
R2N1-410,T1,,0,0,0,0,2,2,0,0,0,0,0,0
R2N1-410,T2,ASK,0,0,0,0,3,1,0,0,0,0,0,0
R2N2-210,T1,,0,0,0,0,1,4,0,0,0,0,0,0
R2N2-210,T2,ASK,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-110,T1,,0,0,0,0,3,0,0,0,0,0,0,0
R2S1-110,T2,,0,0,*,0,21,0,0,1,0,0,0,0
R2S1-210,T1,,0,0,0,0,3,0,1,0,0,0,0,0
R2S1-210,T2,,0,0,0,0,2,0,0,1,0,0,0,0
WPLG-Acer,T1,,6,0,0,0,13,0,0,0,0,0,0,0
WPLG-Acer,T2,MS,1,0,0,0,3,6,5,0,2,0,0,0