site,date,latitude,longitude,zone,f_habitat,habitat,team,depth,penip_site,reef,direction,distance_m,dist_from_channel,dir,set
1083,2024-08-14T00:00:00Z,26.241249,-80.083107,Forereef,Contiguous Reef Other,CPSH,Broward County,16.666666666666668,NA,NA,NA,NA,16.36609279,N,Nref
1084,2024-08-14T00:00:00Z,26.237202,-80.08564,Forereef,Contiguous Reef Other,CPSH,Broward County,12.166666666666666,NA,NA,NA,NA,15.917718904360498,N,Nref
1086,2024-08-14T00:00:00Z,26.23089,-80.087189,Forereef,Contiguous Reef Other,RGSH,Broward County,15.272727272727273,NA,NA,NA,NA,15.218402390390686,N,Nref
1087,2024-10-01T00:00:00Z,26.228138,-80.0802,Forereef,Contiguous Reef Other,LIRI,Broward County,28.852941176470587,NA,NA,NA,NA,14.91350413,N,Nref
1089,2024-08-14T00:00:00Z,26.226822,-80.08622,Forereef,Reef Rubble,RGSH,Broward County,16.5,NA,NA,NA,NA,14.767702529134068,N,Nref
1090,2024-08-14T00:00:00Z,26.22366,-80.085747,Forereef,Reef Rubble,CPSH,Broward County,15.4,NA,NA,NA,NA,14.417379951828318,N,Nref
1091,2024-10-16T00:00:00Z,26.223221,-80.087753,Forereef,Contiguous Reef Other,RGSH,Broward County,17.714285714285715,NA,NA,NA,NA,14.368742515739529,N,Nref
1092,2024-08-14T00:00:00Z,26.217794,-80.088824,Forereef,Contiguous Reef Other,RGSH,Broward County,12,NA,NA,NA,NA,13.767477691250495,N,Nref
1094,2024-09-09T00:00:00Z,26.202915,-80.089409,Forereef,Contiguous Reef Other,RGSH,Broward County,17.23076923076923,NA,NA,NA,NA,12.119015061850643,N,Nref
1095,2024-10-16T00:00:00Z,26.202894,-80.085907,Forereef,Contiguous Reef Other,RGSH,Broward County,13.8,NA,NA,NA,NA,12.116688448546586,N,Nref
1096,2024-10-16T00:00:00Z,26.191198,-80.092506,Forereef,Contiguous Reef Other,RGSH,Broward County,11.4,NA,NA,NA,NA,10.82087668473723,N,Nref
1097,2024-08-14T00:00:00Z,26.188919,-80.08902,Forereef,Contiguous Reef Other,RGSH,Broward County,17.6,NA,NA,NA,NA,10.568384196612579,N,Nref
1098,2024-10-01T00:00:00Z,26.18891,-80.087517,Forereef,Contiguous Reef Other,RGSH,Broward County,15.807692307692308,NA,NA,NA,NA,10.567387078564535,N,Nref
1099,2024-10-16T00:00:00Z,26.186207,-80.088539,Forereef,Contiguous Reef Other,RGSH,Broward County,11,NA,NA,NA,NA,10.267919347872416,N,Nref
1102,2024-10-01T00:00:00Z,26.175322,-80.08062,Forereef,Contiguous Reef Other,LIRM,Broward County,58.81818181818182,NA,NA,NA,NA,9.061961830010068,N,Nref
1104,2024-08-13T00:00:00Z,26.170824,-80.08266,Forereef,Contiguous Reef Other,LIRM,NOVA Southeastern Univ.,41,NA,NA,NA,NA,8.563625484763012,N,Nref
1108,2024-10-01T00:00:00Z,26.162291,-80.090225,Forereef,Contiguous Reef Other,RGSH,NOVA Southeastern Univ.,10,NA,NA,NA,NA,7.618249721084066,N,Nref
1109,2024-08-13T00:00:00Z,26.160942,-80.09124,Forereef,Reef Rubble,CPSH,NOVA Southeastern Univ.,17.4,NA,NA,NA,NA,7.468793371625846,N,Nref
1110,2024-10-01T00:00:00Z,26.153269,-80.091293,Forereef,Contiguous Reef Other,RGSH,NOVA Southeastern Univ.,11.070422535211268,NA,NA,NA,NA,6.618698597026413,N,Nref
1111,2024-10-24T00:00:00Z,26.14834,-80.097336,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,15.466666666666667,NA,NA,NA,NA,6.072613170504912,N,Nref
1113,2024-10-25T00:00:00Z,26.139725,-80.0914,Forereef,Contiguous Reef Other,LIRI,NOVA Southeastern Univ.,23.944444444444443,NA,NA,NA,NA,5.118155567292265,N,Nref
1114,2024-10-25T00:00:00Z,26.13889,-80.093697,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,16.05,NA,NA,NA,NA,5.025645808043941,N,Nref
1124,2024-09-12T00:00:00Z,26.109669,-80.091848,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,39.166666666666664,1124,IR,N,1700,1.7882541463261683,N,penip
1127,2024-09-11T00:00:00Z,26.100054,-80.100204,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,15.8,1127,NRC,N,640,0.7230121293120116,N,penip
1128,2024-09-11T00:00:00Z,26.099588,-80.098213,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,20.42105263157895,1128,NRC,N,580,0.6713842111681168,N,penip
1130,2024-09-09T00:00:00Z,26.088783,-80.102791,Forereef,Contiguous Reef Other,RGSH,Shedd Aquarium,12,1130,NRC,S,460,-0.525695659,S,penip
1131,2024-09-09T00:00:00Z,26.086544,-80.105812,Forereef,Reef Rubble,CPSH,Shedd Aquarium,15.307692307692308,1131,NRC,S,670,-0.773752985,S,penip
1132,2024-09-09T00:00:00Z,26.086096,-80.106316,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,17,1132,NRC,S,730,-0.823386599,S,penip
1133,2024-09-12T00:00:00Z,26.085127,-80.095299,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,29.914285714285715,1133,IR,S,870,-0.930741436,S,penip
1134,2024-09-09T00:00:00Z,26.08379,-80.098335,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,27.333333333333332,1134,NRC,S,1010,-1.078866714,S,penip
1137,2024-09-09T00:00:00Z,26.076626,-80.107887,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,15,1137,NRC,S,1740,-1.872560706,S,penip
1138,2024-09-09T00:00:00Z,26.07617,-80.107391,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,16,1138,NRC,S,1800,-1.923080565,S,penip
1139,2024-09-10T00:00:00Z,26.072102,-80.106422,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,24.695652173913043,1139,NRC,S,2250,-2.373770743,S,penip
1141,2024-09-10T00:00:00Z,26.067577,-80.104958,Forereef,Contiguous Reef Other,RGSH,Shedd Aquarium,14.275862068965518,1141,NRC,S,2750,-2.875091256,S,penip
1149,2024-10-16T00:00:00Z,26.041372,-80.101654,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,25.486486486486488,NA,NA,NA,NA,-5.778312487,S,Sref
1152,2024-10-16T00:00:00Z,26.028284,-80.102257,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,24,NA,NA,NA,NA,-7.22831272,S,Sref
1153,2024-10-16T00:00:00Z,26.021967,-80.102806,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,26,NA,NA,NA,NA,-7.928162901,S,Sref
1154,2024-10-03T00:00:00Z,26.013876,-80.10836,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,16.724137931034484,NA,NA,NA,NA,-8.824550771,S,Sref
1155,2024-10-16T00:00:00Z,26.012957,-80.105865,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,26.93103448275862,NA,NA,NA,NA,-8.926365125,S,Sref
1156,2024-10-16T00:00:00Z,26.010221,-80.101395,Forereef,Contiguous Reef Other,LIRI,NOVA Southeastern Univ.,26.835443037974684,NA,NA,NA,NA,-9.229481558,S,Sref
1157,2024-10-16T00:00:00Z,26.008459,-80.108398,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,21.153846153846153,NA,NA,NA,NA,-9.424690253,S,Sref
1158,2024-10-16T00:00:00Z,26.005774,-80.112419,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,19.333333333333332,NA,NA,NA,NA,-9.722156306,S,Sref
1159,2024-08-20T00:00:00Z,25.999505,-80.095292,Forereef,Contiguous Reef Other,LIRM,NOVA Southeastern Univ.,48.142857142857146,NA,NA,NA,NA,-10.41668649,S,Sref
1160,2024-09-06T00:00:00Z,25.998951,-80.103973,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,30.606060606060606,NA,NA,NA,NA,-10.47806303,S,Sref
1161,2024-10-16T00:00:00Z,25.998102,-80.112976,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,19.142857142857142,NA,NA,NA,NA,-10.57212201,S,Sref
1162,2024-09-06T00:00:00Z,25.996229,-80.101997,Forereef,Contiguous Reef Other,LIRI,NOVA Southeastern Univ.,29.72222222222222,NA,NA,NA,NA,-10.77962784,S,Sref
1163,2024-10-16T00:00:00Z,25.995388,-80.112,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,20.666666666666668,NA,NA,NA,NA,-10.87280049,S,Sref
1164,2024-08-20T00:00:00Z,25.995295,-80.097008,Forereef,Contiguous Reef Other,LIRM,NOVA Southeastern Univ.,34,NA,NA,NA,NA,-10.88310377,S,Sref
1166,2024-08-15T00:00:00Z,25.98134,-80.103607,Forereef,Contiguous Reef Other,LIRI,NOVA Southeastern Univ.,25.507462686567163,NA,NA,NA,NA,-12.4291477,S,Sref
1167,2024-08-15T00:00:00Z,25.975952,-80.108147,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,25.8,NA,NA,NA,NA,-13.02607165,S,Sref
1168,2024-10-24T00:00:00Z,25.965652,-80.093951,Forereef,Contiguous Reef Other,LIRM,DEP - Miami,56,NA,NA,NA,NA,-14.16718336,S,Sref
1169,2024-09-12T00:00:00Z,25.965549,-80.105232,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,30.423076923076923,NA,NA,NA,NA,-14.17859447,S,Sref
1171,2024-09-12T00:00:00Z,25.957443,-80.108284,Forereef,Contiguous Reef Other,RGSH,DEP - Miami,17.893617021276597,NA,NA,NA,NA,-15.07663716,S,Sref
1172,2024-09-12T00:00:00Z,25.956972,-80.105293,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,32,NA,NA,NA,NA,-15.128818,S,Sref
1173,2024-09-12T00:00:00Z,25.95618,-80.09909,Forereef,Contiguous Reef Other,PTCH,DEP - Miami,42.375,NA,NA,NA,NA,-15.21656156,S,Sref
1174,2024-10-04T00:00:00Z,25.954613,-80.088829,Forereef,Contiguous Reef Other,LIRO,DEP - Miami,59.172413793103445,NA,NA,NA,NA,-15.39016528,S,Sref
1175,2024-10-04T00:00:00Z,25.951584,-80.109825,Forereef,Contiguous Reef Other,RGSH,DEP - Miami,19.185185185185187,NA,NA,NA,NA,-15.72573993,S,Sref
1176,2024-09-20T00:00:00Z,25.949341,-80.112343,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,20.571428571428573,NA,NA,NA,NA,-15.9742357,S,Sref
1177,2024-09-13T00:00:00Z,25.949293,-80.104355,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,32,NA,NA,NA,NA,-15.97955348,S,Sref
1178,2024-09-13T00:00:00Z,25.945692,-80.106377,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,32.7,NA,NA,NA,NA,-16.37849815,S,Sref
1179,2024-09-20T00:00:00Z,25.944366,-80.110878,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,22.2,NA,NA,NA,NA,-16.52540191,S,Sref
1180,2024-09-13T00:00:00Z,25.943899,-80.108391,Forereef,Contiguous Reef Other,RGSH,DEP - Miami,17,NA,NA,NA,NA,-16.5771395,S,Sref
1181,2024-09-20T00:00:00Z,25.940453,-80.102147,Forereef,Contiguous Reef Other,LIRI,DEP - Miami,34.55813953488372,NA,NA,NA,NA,-16.95891188,S,Sref
1182,2024-09-13T00:00:00Z,25.939398,-80.11042,Forereef,Contiguous Reef Other,RGSH,DEP - Miami,17,NA,NA,NA,NA,-17.07579224,S,Sref
1183,2024-10-04T00:00:00Z,25.938812,-80.088951,Forereef,Contiguous Reef Other,SPGR,DEP - Miami,55.88235294117647,NA,NA,NA,NA,-17.14071346,S,Sref
1184,2024-09-20T00:00:00Z,25.932644,-80.113464,Forereef,Reef Rubble,CPSH,DEP - Miami,24.3125,NA,NA,NA,NA,-17.82404773,S,Sref
1185,2024-09-20T00:00:00Z,25.919012,-80.099091,Forereef,Reef Rubble,LIRM,DEP - Miami,45.25,NA,NA,NA,NA,-19.33429417,S,Sref
1186,2024-09-06T00:00:00Z,25.906393,-80.102684,Forereef,Contiguous Reef Other,CPSH,DEP - Miami,30.473684210526315,NA,NA,NA,NA,-20.73231099,S,Sref
1187,2024-09-06T00:00:00Z,25.901132,-80.09552,Forereef,Contiguous Reef Other,LIRM,DEP - Miami,51,NA,NA,NA,NA,-21.31515887,S,Sref
2097,2024-10-25T00:00:00Z,26.154205,-80.096794,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,17.555555555555557,NA,NA,NA,NA,6.722398367234965,N,Nref
2098,2024-10-25T00:00:00Z,26.152846,-80.098598,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,16,NA,NA,NA,NA,6.571834282,N,Nref
2099,2024-10-24T00:00:00Z,26.144722,-80.096367,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,23.095238095238095,NA,NA,NA,NA,5.671774075181671,N,Nref
2100,2024-10-24T00:00:00Z,26.144281,-80.09787,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,17,NA,NA,NA,NA,5.622915592253902,N,Nref
2101,2024-10-24T00:00:00Z,26.142031,-80.098885,Forereef,Contiguous Reef Other,CPSH,NOVA Southeastern Univ.,17.625,NA,NA,NA,NA,5.373637664698259,N,Nref
2111,2024-09-12T00:00:00Z,26.109543,-80.101639,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,15.473684210526315,2111,NRC,N,1700,1.7742946473702756,N,penip
2112,2024-09-12T00:00:00Z,26.105465,-80.099167,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,17.548387096774192,2112,NRC,N,1230,1.322494487483103,N,penip
2115,2024-09-10T00:00:00Z,26.077469,-80.098381,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,24.71794871794872,2115,IR,S,1700,-1.779165432,S,penip
2116,2024-09-09T00:00:00Z,26.077074,-80.107384,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,17.647058823529413,2116,NRC,S,1700,-1.822927157,S,penip
2117,2024-09-09T00:00:00Z,26.07707,-80.10688,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,18,2117,NRC,S,1700,-1.823370314,S,penip
2120,2024-09-10T00:00:00Z,26.069349,-80.099442,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,29,2120,IR,S,2600,-2.678773073,S,penip
2151,2024-10-04T00:00:00Z,25.954735,-80.108307,Forereef,Contiguous Reef Other,RGSH,DEP - Miami,21,NA,NA,NA,NA,-15.37664922,S,Sref
2158,2024-10-24T00:00:00Z,25.92765,-80.109009,Forereef,Contiguous Reef Other,RGSH,DEP - Miami,20,NA,NA,NA,NA,-18.37731762,S,Sref
3067,2024-09-12T00:00:00Z,25.9586167,-80.0969333,Forereef,Contiguous Reef Other,LIRM,DEP - Miami,43,NA,NA,NA,NA,-14.94660605,S,Sref
3068,2024-09-11T00:00:00Z,26.0954,-80.1012,Forereef,Reef Rubble,RGSH,Shedd Aquarium,16.2,IRN1-110,NRC,N,110,0.20739783472243073,N,penip
3069,2024-09-11T00:00:00Z,26.0981,-80.1011,Forereef,Contiguous Reef Other,RGSH,Shedd Aquarium,13.8,IRN1-410,NRC,N,410,0.5065294219172052,N,penip
3070,2024-09-11T00:00:00Z,26.0982,-80.0988,Forereef,Reef Rubble,CPSH,Shedd Aquarium,19.666666666666668,IRN2-410,NRC,N,410,0.5176083717414921,N,penip
3071,2024-09-11T00:00:00Z,26.0954,-80.0957,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,25.857142857142858,IRN3-110,IR,N,110,0.20739783472243073,N,penip
3072,2024-09-11T00:00:00Z,26.0962,-80.0959,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,26.5,IRN3-210,NRC,N,210,0.29602940443929016,N,penip
3073,2024-09-11T00:00:00Z,26.0954,-80.0951,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,30,IRN4-110,IR,N,110,0.20739783472243073,N,penip
3074,2024-09-10T00:00:00Z,26.0963,-80.0949,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,32.333333333333336,IRN4-210,IR,N,210,0.30710835134499226,N,penip
3075,2024-09-11T00:00:00Z,26.0982,-80.0939,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,35.10526315789474,IRN4-410,IR,N,410,0.5176083717414921,N,penip
3076,2024-09-09T00:00:00Z,26.092,-80.1032,Forereef,Reef Rubble,RGSH,Shedd Aquarium,16,IRS1-110,NRC,S,110,-0.169286227,S,penip
3077,2024-09-09T00:00:00Z,26.0911,-80.1032,Forereef,Contiguous Reef Other,RGSH,Shedd Aquarium,13,IRS1-210,NRC,S,210,-0.268996684,S,penip
3078,2024-09-09T00:00:00Z,26.0902,-80.1032,Forereef,Contiguous Reef Other,RGSH,Shedd Aquarium,15.333333333333334,IRS1-310,NRC,S,310,-0.368707129,S,penip
3079,2024-09-09T00:00:00Z,26.0857,-80.1032,Forereef,Reef Rubble,RGSH,Shedd Aquarium,12.5,IRS1-810,NRC,S,810,-0.867259166,S,penip
3080,2024-09-10T00:00:00Z,26.0922,-80.1001,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,23,IRS2-110,NRC,S,110,-0.147128346,S,penip
3081,2024-09-10T00:00:00Z,26.0902,-80.1001,Forereef,Contiguous Reef Other,CPSH,Shedd Aquarium,28.714285714285715,IRS2-310,NRC,S,310,-0.368707129,S,penip
3082,2024-09-12T00:00:00Z,26.092,-80.0962,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,26.130434782608695,IRS3-110,IR,S,110,-0.169286227,S,penip
3083,2024-09-12T00:00:00Z,26.0911,-80.0964,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,23,IRS3-210,IR,S,210,-0.268996684,S,penip
3084,2024-09-12T00:00:00Z,26.0902,-80.0966,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,23.5,IRS3-310,IR,S,310,-0.368707129,S,penip
3085,2024-09-12T00:00:00Z,26.0919,-80.0937,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,39.57142857142857,IRS4-110,IR,S,110,-0.180365167,S,penip
3086,2024-09-12T00:00:00Z,26.0911,-80.094,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,35,IRS4-210,IR,S,210,-0.268996684,S,penip
3087,2024-09-12T00:00:00Z,26.0902,-80.0941,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,37.666666666666664,IRS4-310,IR,S,310,-0.368707129,S,penip
3088,2024-09-10T00:00:00Z,26.0957,-80.0915,Forereef,Contiguous Reef Other,LIRM,Shedd Aquarium,38.529411764705884,R2N1-110,MR,N,110,0.2406346722138166,N,penip
3089,2024-09-10T00:00:00Z,26.0966,-80.0913,Forereef,Contiguous Reef Spur and Groove,LIRM,Shedd Aquarium,38,R2N1-210,MR,N,210,0.3403451929841329,N,penip
3090,2024-09-10T00:00:00Z,26.0985,-80.091,Forereef,Contiguous Reef Other,LIRM,Shedd Aquarium,41,R2N1-410,MR,N,410,0.5508452221367078,N,penip
3091,2024-09-10T00:00:00Z,26.096800000000002,-80.0885,Forereef,Contiguous Reef Other,LIRM,Shedd Aquarium,64.04,R2N2-210,MR,N,210,0.362503088,N,penip
3092,2024-09-12T00:00:00Z,26.0918,-80.0915,Forereef,Contiguous Reef Other,LIRM,Shedd Aquarium,43.6,R2S1-110,MR,S,110,-0.191444107,S,penip
3093,2024-09-12T00:00:00Z,26.0909,-80.0915,Forereef,Contiguous Reef Other,LIRM,Shedd Aquarium,43.25,R2S1-210,MR,S,210,-0.291154562,S,penip
3094,2024-09-11T00:00:00Z,26.099233,-80.10165,Forereef,Contiguous Reef Other,RGSH,Shedd Aquarium,15,WPLG-Acer,NRC,N,540,0.6320539324178156,N,penip
3096,2024-09-09T00:00:00Z,26.086131,-80.102996,Forereef,Reef Rubble,RGSH,Shedd Aquarium,13.590909090909092,ESA2,NRC,S,760,-0.819508973,S,penip
3097,2024-09-10T00:00:00Z,26.07758,-80.09756,Forereef,Contiguous Reef Other,LIRI,Shedd Aquarium,31.692307692307693,121-ASK-SS,IR,S,1700,-1.766867833,S,penip
3110,2024-09-11T00:00:00Z,26.0985,-80.0959,Forereef,Reef Rubble,LIRI,Shedd Aquarium,30.476190476190474,IRN3-410,IR,N,410,0.5508452221367078,N,penip
3095,2024-09-11T00:00:00Z,26.099722,-80.097778,,,,Shedd Aquarium,22,"""NA""",NRC,N,600,0.6862300070310567,N,penip