site,transect_num,taxon,max_width_cm,team
1124,1,SSID,5,Shedd Aquarium
1124,1,MDEC,5,Shedd Aquarium
1124,2,SINT,15,Shedd Aquarium
1124,2,MCAV,6,Shedd Aquarium
1124,2,SBOU,6,Shedd Aquarium
1124,2,SSID,6,Shedd Aquarium
1124,2,SSID,4,Shedd Aquarium
1124,2,MCAV,6,Shedd Aquarium
1124,2,MCAV,8,Shedd Aquarium
1124,2,SRAD,11,Shedd Aquarium
1124,2,EFAS,18,Shedd Aquarium
1124,2,MCAV,11,Shedd Aquarium
1124,2,MCAV,4,Shedd Aquarium
1124,2,MMEA,11,Shedd Aquarium
1124,2,PPOR,5,Shedd Aquarium
1124,2,SSID,8,Shedd Aquarium
1124,2,SRAD,7,Shedd Aquarium
1124,2,SINT,6,Shedd Aquarium
1124,2,MCAV,11,Shedd Aquarium
1124,2,SSID,12,Shedd Aquarium
1124,2,SSID,6,Shedd Aquarium
1124,2,PSTR,13,Shedd Aquarium
1124,2,SSID,6,Shedd Aquarium
1124,2,MCAV,6,Shedd Aquarium
1127,1,SSID,5,Shedd Aquarium
1127,1,SINT,7,Shedd Aquarium
1127,1,PAST,6,Shedd Aquarium
1127,1,PAST,5,Shedd Aquarium
1127,1,PAST,7,Shedd Aquarium
1127,1,PAST,14,Shedd Aquarium
1127,2,SBOU,23,Shedd Aquarium
1127,2,DSTO,6,Shedd Aquarium
1127,2,PAST,11,Shedd Aquarium
1127,2,SSID,14,Shedd Aquarium
1128,1,PSTR,6,Shedd Aquarium
1128,1,DSTO,8,Shedd Aquarium
1128,1,AAGA,25,Shedd Aquarium
1128,1,SINT,10,Shedd Aquarium
1128,1,SSID,30,Shedd Aquarium
1128,1,SINT,18,Shedd Aquarium
1128,1,SSID,6,Shedd Aquarium
1128,1,SINT,15,Shedd Aquarium
1128,2,DSTO,12,Shedd Aquarium
1128,2,SINT,8,Shedd Aquarium
1128,2,SBOU,25,Shedd Aquarium
1128,2,PPOR,10,Shedd Aquarium
1128,2,PAST,10,Shedd Aquarium
1128,2,PAST,8,Shedd Aquarium
1128,2,SINT,20,Shedd Aquarium
1128,2,SSID,35,Shedd Aquarium
1128,2,SSID,6,Shedd Aquarium
1128,2,SSID,5,Shedd Aquarium
1128,2,SINT,15,Shedd Aquarium
1130,1,PCLI,72,Shedd Aquarium
1130,1,PPOR,6,Shedd Aquarium
1130,1,PPOR,7,Shedd Aquarium
1130,2,SRAD,6,Shedd Aquarium
1130,2,MCAV,35,Shedd Aquarium
1130,2,SINT,6,Shedd Aquarium
1132,1,PPOR,8,Shedd Aquarium
1132,1,SRAD,8,Shedd Aquarium
1132,1,DSTO,9,Shedd Aquarium
1132,1,PAST,9,Shedd Aquarium
1132,1,PAST,6,Shedd Aquarium
1132,1,SRAD,6,Shedd Aquarium
1132,1,MCAV,6,Shedd Aquarium
1132,1,SRAD,6,Shedd Aquarium
1132,2,PPOR,10,Shedd Aquarium
1132,2,PPOR,10,Shedd Aquarium
1132,2,SBOU,20,Shedd Aquarium
1132,2,SRAD,5,Shedd Aquarium
1132,2,SRAD,6,Shedd Aquarium
1132,2,PPOR,12,Shedd Aquarium
1132,2,SRAD,6,Shedd Aquarium
1132,2,SINT,6,Shedd Aquarium
1133,1,SBOU,22,Shedd Aquarium
1133,1,PPOR,7,Shedd Aquarium
1133,1,PPOR,12,Shedd Aquarium
1133,1,MCAV,7,Shedd Aquarium
1133,1,SSID,9,Shedd Aquarium
1133,1,DSTO,12,Shedd Aquarium
1133,1,OANN,10,Shedd Aquarium
1133,1,PAST,12,Shedd Aquarium
1133,1,PPOR,18,Shedd Aquarium
1133,1,SSID,10,Shedd Aquarium
1133,1,SSID,8,Shedd Aquarium
1133,1,SSID,10,Shedd Aquarium
1133,1,PPOR,10,Shedd Aquarium
1133,1,OFRA,6,Shedd Aquarium
1133,1,MMEA,5,Shedd Aquarium
1133,1,SRAD,10,Shedd Aquarium
1133,2,PPOR,5,Shedd Aquarium
1133,2,PAST,8,Shedd Aquarium
1133,2,SINT,6,Shedd Aquarium
1133,2,MCAV,6,Shedd Aquarium
1133,2,PPOR,6,Shedd Aquarium
1133,2,SSID,8,Shedd Aquarium
1133,2,MCAV,4,Shedd Aquarium
1133,2,SINT,7,Shedd Aquarium
1133,2,MCAV,5,Shedd Aquarium
1133,2,PPOR,8,Shedd Aquarium
1133,2,SSID,13,Shedd Aquarium
1133,2,PPOR,6,Shedd Aquarium
1133,2,SSID,14,Shedd Aquarium
1133,2,SSID,8,Shedd Aquarium
1133,2,PAST,10,Shedd Aquarium
1133,2,MCAV,4,Shedd Aquarium
1133,2,SINT,6,Shedd Aquarium
1133,2,PPOR,9,Shedd Aquarium
1133,2,SRAD,6,Shedd Aquarium
1134,1,SRAD,5,Shedd Aquarium
1134,1,SRAD,5,Shedd Aquarium
1134,1,SSID,15,Shedd Aquarium
1134,1,PPOR,7,Shedd Aquarium
1134,1,SINT,7,Shedd Aquarium
1134,1,SINT,10,Shedd Aquarium
1134,1,PSTR,5,Shedd Aquarium
1134,1,SSID,5,Shedd Aquarium
1134,1,SRAD,9,Shedd Aquarium
1134,1,SINT,5,Shedd Aquarium
1134,1,SINT,6,Shedd Aquarium
1134,1,SSID,5,Shedd Aquarium
1134,2,PFUR,6,Shedd Aquarium
1134,2,SINT,7,Shedd Aquarium
1134,2,PAST,17,Shedd Aquarium
1134,2,MCAV,60,Shedd Aquarium
1134,2,PAST,7,Shedd Aquarium
1134,2,SSID,5,Shedd Aquarium
1137,1,MCAV,6,Shedd Aquarium
1137,2,SBOU,25,Shedd Aquarium
1137,2,PSTR,35,Shedd Aquarium
1137,2,PAST,14,Shedd Aquarium
1139,1,PPOR,15,Shedd Aquarium
1139,1,PPOR,5,Shedd Aquarium
1139,1,SRAD,28,Shedd Aquarium
1139,1,PPOR,7,Shedd Aquarium
1139,1,SRAD,5,Shedd Aquarium
1139,1,SRAD,5,Shedd Aquarium
1139,1,PPOR,12,Shedd Aquarium
1139,1,PPOR,5,Shedd Aquarium
1139,1,PPOR,9,Shedd Aquarium
1139,2,PPOR,6,Shedd Aquarium
1139,2,PPOR,6,Shedd Aquarium
1139,2,PPOR,7,Shedd Aquarium
1139,2,SINT,11,Shedd Aquarium
1139,2,PPOR,5,Shedd Aquarium
1139,2,PPOR,5,Shedd Aquarium
1139,2,MCAV,6,Shedd Aquarium
1139,2,PSTR,22,Shedd Aquarium
1139,2,PPOR,5,Shedd Aquarium
1139,2,SBOU,25,Shedd Aquarium
1139,2,DSTO,8,Shedd Aquarium
1139,2,PPOR,4,Shedd Aquarium
1139,2,PPOR,4,Shedd Aquarium
1139,2,PPOR,4,Shedd Aquarium
1141,1,MCAV,29,Shedd Aquarium
1141,1,PPOR,11,Shedd Aquarium
1141,1,PAST,19,Shedd Aquarium
1141,1,PAST,7,Shedd Aquarium
1141,1,SRAD,5,Shedd Aquarium
1141,1,PAST,11,Shedd Aquarium
1141,1,PCLI,27,Shedd Aquarium
1141,1,PPOR,5,Shedd Aquarium
1141,1,PPOR,10,Shedd Aquarium
1141,1,SSID,5,Shedd Aquarium
1141,1,SRAD,6,Shedd Aquarium
1141,1,PAST,9,Shedd Aquarium
1141,1,PPOR,9,Shedd Aquarium
1141,1,PPOR,10,Shedd Aquarium
1141,1,PAST,15,Shedd Aquarium
1141,1,PCLI,43,Shedd Aquarium
1141,1,PPOR,10,Shedd Aquarium
1141,1,PPOR,7,Shedd Aquarium
1141,1,SSID,5,Shedd Aquarium
1141,1,PPOR,33,Shedd Aquarium
1141,1,PCLI,110,Shedd Aquarium
1141,2,PAST,5,Shedd Aquarium
1141,2,PAST,12,Shedd Aquarium
1141,2,PAST,13,Shedd Aquarium
1141,2,MCAV,20,Shedd Aquarium
1141,2,PPOR,12,Shedd Aquarium
1141,2,MCAV,5,Shedd Aquarium
1141,2,PSTR,15,Shedd Aquarium
1141,2,PAST,7,Shedd Aquarium
2111,1,PPOR,13,Shedd Aquarium
2111,1,PPOR,6,Shedd Aquarium
2111,1,PPOR,6,Shedd Aquarium
2111,1,PPOR,6,Shedd Aquarium
2111,1,PPOR,7,Shedd Aquarium
2111,1,PPOR,5,Shedd Aquarium
2111,1,PPOR,5,Shedd Aquarium
2111,1,PPOR,7,Shedd Aquarium
2111,1,PPOR,10,Shedd Aquarium
2111,1,PPOR,8,Shedd Aquarium
2111,2,PPOR,5,Shedd Aquarium
2111,2,PPOR,6,Shedd Aquarium
2111,2,PPOR,5,Shedd Aquarium
2111,2,PPOR,6,Shedd Aquarium
2111,2,PPOR,5,Shedd Aquarium
2111,2,PAST,7,Shedd Aquarium
2111,2,PPOR,6,Shedd Aquarium
2111,2,PPOR,5,Shedd Aquarium
2111,2,PPOR,5,Shedd Aquarium
2112,1,SSID,11,Shedd Aquarium
2112,1,PAST,6,Shedd Aquarium
2112,1,PAST,14,Shedd Aquarium
2112,1,AAGA,10,Shedd Aquarium
2112,1,PAST,8,Shedd Aquarium
2112,1,SSID,4,Shedd Aquarium
2112,1,SSID,5,Shedd Aquarium
2112,1,PAST,8,Shedd Aquarium
2112,1,PAST,11,Shedd Aquarium
2112,1,DSTO,6,Shedd Aquarium
2112,1,PSTR,63,Shedd Aquarium
2112,1,PAST,15,Shedd Aquarium
2112,1,MCAV,7,Shedd Aquarium
2112,1,PAST,7,Shedd Aquarium
2112,1,PAST,11,Shedd Aquarium
2112,1,PAST,24,Shedd Aquarium
2112,2,PAST,16,Shedd Aquarium
2112,2,PAST,11,Shedd Aquarium
2112,2,SSID,4,Shedd Aquarium
2112,2,SRAD,4,Shedd Aquarium
2112,2,PAST,7,Shedd Aquarium
2112,2,PSTR,9,Shedd Aquarium
2112,2,SSID,5,Shedd Aquarium
2112,2,PAST,15,Shedd Aquarium
2112,2,PAST,7,Shedd Aquarium
2112,2,SRAD,4,Shedd Aquarium
2112,2,DSTO,7,Shedd Aquarium
2112,2,SINT,6,Shedd Aquarium
2112,2,SSID,4,Shedd Aquarium
2112,2,PAST,7,Shedd Aquarium
2112,2,SRAD,4,Shedd Aquarium
2115,1,PAST,4,Shedd Aquarium
2115,1,SSID,4,Shedd Aquarium
2115,1,PSTR,5,Shedd Aquarium
2115,1,PAST,5,Shedd Aquarium
2115,1,PFUR,5,Shedd Aquarium
2115,1,PAST,12,Shedd Aquarium
2115,1,PPOR,4,Shedd Aquarium
2115,1,PAST,8,Shedd Aquarium
2115,1,PAST,14,Shedd Aquarium
2115,1,SSID,4,Shedd Aquarium
2115,1,MCAV,45,Shedd Aquarium
2115,1,SSID,6,Shedd Aquarium
2115,1,MCAV,7,Shedd Aquarium
2115,1,SINT,10,Shedd Aquarium
2115,2,SSID,10,Shedd Aquarium
2115,2,PPOR,7,Shedd Aquarium
2115,2,PAST,5,Shedd Aquarium
2115,2,AAGA,5,Shedd Aquarium
2115,2,SINT,14,Shedd Aquarium
2115,2,PAST,12,Shedd Aquarium
2115,2,PAST,7,Shedd Aquarium
2115,2,SSID,4,Shedd Aquarium
2115,2,OFAV,57,Shedd Aquarium
2115,2,PAST,13,Shedd Aquarium
2115,2,AAGA,12,Shedd Aquarium
2115,2,SINT,12,Shedd Aquarium
2115,2,PAST,9,Shedd Aquarium
2115,2,PAST,14,Shedd Aquarium
2115,2,MMEA,10,Shedd Aquarium
2115,2,SSID,5,Shedd Aquarium
2115,2,MCAV,7,Shedd Aquarium
2115,2,SINT,7,Shedd Aquarium
2115,2,PAST,10,Shedd Aquarium
2115,2,PPOR,5,Shedd Aquarium
2115,2,SINT,8,Shedd Aquarium
2115,2,PSTR,6,Shedd Aquarium
2115,2,SSID,29,Shedd Aquarium
2115,2,PPOR,6,Shedd Aquarium
2115,2,PAST,10,Shedd Aquarium
2116,1,SRAD,9,Shedd Aquarium
2116,1,MCAV,10,Shedd Aquarium
2116,1,SRAD,7,Shedd Aquarium
2116,1,MCAV,5,Shedd Aquarium
2116,1,PPOR,6,Shedd Aquarium
2116,1,SINT,6,Shedd Aquarium
2116,2,MCAV,4,Shedd Aquarium
2116,2,SSID,4,Shedd Aquarium
2116,2,PPOR,8,Shedd Aquarium
2116,2,PPOR,8,Shedd Aquarium
2116,2,PPOR,4,Shedd Aquarium
2116,2,MCAV,4,Shedd Aquarium
2116,2,SSID,4,Shedd Aquarium
2116,2,PPOR,6,Shedd Aquarium
2116,2,PAST,5,Shedd Aquarium
2116,2,PPOR,5,Shedd Aquarium
2116,2,PPOR,5,Shedd Aquarium
2120,1,SSID,6,Shedd Aquarium
2120,1,PPOR,6,Shedd Aquarium
2120,1,SSID,27,Shedd Aquarium
2120,1,MCAV,30,Shedd Aquarium
2120,2,PAST,5,Shedd Aquarium
2120,2,PAST,10,Shedd Aquarium
2120,2,PAST,11,Shedd Aquarium
2120,2,SSID,8,Shedd Aquarium
2120,2,PAST,7,Shedd Aquarium
3068,1,SBOU,14,Shedd Aquarium
3068,1,PSTR,30,Shedd Aquarium
3068,1,SBOU,5,Shedd Aquarium
3068,1,SSID,4,Shedd Aquarium
3068,1,SSID,10,Shedd Aquarium
3068,1,SRAD,8,Shedd Aquarium
3068,1,SSID,4,Shedd Aquarium
3068,1,SINT,7,Shedd Aquarium
3068,2,SRAD,6,Shedd Aquarium
3068,2,SBOU,15,Shedd Aquarium
3069,1,PSTR,45,Shedd Aquarium
3069,2,PCLI,32,Shedd Aquarium
3069,2,SSID,4,Shedd Aquarium
3069,2,PPOR,5,Shedd Aquarium
3069,2,SSID,4,Shedd Aquarium
3070,1,PAST,15,Shedd Aquarium
3070,1,PAST,20,Shedd Aquarium
3070,1,MDEC,135,Shedd Aquarium
3070,1,PAST,15,Shedd Aquarium
3070,1,SBOU,21,Shedd Aquarium
3070,2,SINT,13,Shedd Aquarium
3070,2,AFRA,10,Shedd Aquarium
3070,2,SSID,5,Shedd Aquarium
3070,2,PPOR,6,Shedd Aquarium
3070,2,SSID,4,Shedd Aquarium
3070,2,MCAV,5,Shedd Aquarium
3070,2,SRAD,4,Shedd Aquarium
3070,2,SSID,4,Shedd Aquarium
3070,2,SRAD,4,Shedd Aquarium
3070,2,SBOU,25,Shedd Aquarium
3071,1,PAST,9,Shedd Aquarium
3071,1,MCAV,6,Shedd Aquarium
3071,1,PAST,5,Shedd Aquarium
3071,1,MCAV,6,Shedd Aquarium
3071,1,SSID,7,Shedd Aquarium
3071,1,PPOR,10,Shedd Aquarium
3071,1,MCAV,15,Shedd Aquarium
3071,1,SSID,7,Shedd Aquarium
3071,1,SSID,5,Shedd Aquarium
3071,1,PAST,5,Shedd Aquarium
3071,1,SSID,6,Shedd Aquarium
3071,1,SSID,6,Shedd Aquarium
3071,1,PAST,6,Shedd Aquarium
3071,1,SSID,7,Shedd Aquarium
3071,1,SSID,10,Shedd Aquarium
3071,1,SSID,6,Shedd Aquarium
3071,1,MCAV,11,Shedd Aquarium
3071,1,SSID,7,Shedd Aquarium
3071,1,PAST,9,Shedd Aquarium
3071,1,SINT,7,Shedd Aquarium
3071,1,PAST,10,Shedd Aquarium
3071,1,SSID,6,Shedd Aquarium
3071,1,SINT,7,Shedd Aquarium
3071,1,SSID,8,Shedd Aquarium
3071,2,PAST,10,Shedd Aquarium
3071,2,SSID,6,Shedd Aquarium
3071,2,PPOR,15,Shedd Aquarium
3071,2,DSTO,5,Shedd Aquarium
3071,2,PPOR,5,Shedd Aquarium
3071,2,AAGA,4,Shedd Aquarium
3071,2,PAST,8,Shedd Aquarium
3071,2,MCAV,10,Shedd Aquarium
3071,2,PAST,6,Shedd Aquarium
3071,2,DSTO,6,Shedd Aquarium
3071,2,SSID,15,Shedd Aquarium
3071,2,SSID,6,Shedd Aquarium
3071,2,PAST,10,Shedd Aquarium
3071,2,PAST,11,Shedd Aquarium
3071,2,PPOR,8,Shedd Aquarium
3071,2,SINT,6,Shedd Aquarium
3071,2,PPOR,8,Shedd Aquarium
3071,2,PPOR,10,Shedd Aquarium
3074,1,MCAV,7,Shedd Aquarium
3074,1,SBOU,6,Shedd Aquarium
3074,2,SSID,6,Shedd Aquarium
3074,2,SINT,6,Shedd Aquarium
3074,2,SINT,6,Shedd Aquarium
3074,2,SINT,10,Shedd Aquarium
3074,2,SINT,10,Shedd Aquarium
3074,2,SSID,7,Shedd Aquarium
3074,2,SINT,10,Shedd Aquarium
3074,2,SSID,6,Shedd Aquarium
3074,2,SSID,6,Shedd Aquarium
3074,2,SINT,17,Shedd Aquarium
3074,2,CNAT,9,Shedd Aquarium
3074,2,SSID,6,Shedd Aquarium
3074,2,SSID,5,Shedd Aquarium
3074,2,SSID,8,Shedd Aquarium
3074,2,MCAV,9,Shedd Aquarium
3074,2,SSID,11,Shedd Aquarium
3075,1,MCAV,6,Shedd Aquarium
3075,1,SSID,5,Shedd Aquarium
3075,1,SSID,20,Shedd Aquarium
3075,1,PSTR,30,Shedd Aquarium
3075,1,SINT,8,Shedd Aquarium
3075,1,SSID,6,Shedd Aquarium
3075,1,MCAV,5,Shedd Aquarium
3075,2,SSID,5,Shedd Aquarium
3075,2,SSID,7,Shedd Aquarium
3075,2,SINT,4,Shedd Aquarium
3075,2,SSID,5,Shedd Aquarium
3075,2,SRAD,5,Shedd Aquarium
3075,2,SINT,10,Shedd Aquarium
3075,2,PAST,15,Shedd Aquarium
3075,2,SSID,5,Shedd Aquarium
3075,2,SRAD,5,Shedd Aquarium
3075,2,SBOU,40,Shedd Aquarium
3075,2,PAST,6,Shedd Aquarium
3075,2,SSID,15,Shedd Aquarium
3077,1,SBOU,22,Shedd Aquarium
3077,1,SSID,4,Shedd Aquarium
3077,1,DSTO,4,Shedd Aquarium
3077,1,SSID,5,Shedd Aquarium
3077,2,SBOU,45,Shedd Aquarium
3077,2,DSTO,5,Shedd Aquarium
3077,2,DSTO,11,Shedd Aquarium
3077,2,SINT,8,Shedd Aquarium
3080,1,MCAV,6,Shedd Aquarium
3080,1,SINT,15,Shedd Aquarium
3080,1,SSID,9,Shedd Aquarium
3080,1,DSTO,5,Shedd Aquarium
3080,1,SINT,8,Shedd Aquarium
3080,2,DSTO,9,Shedd Aquarium
3080,2,SSID,6,Shedd Aquarium
3080,2,SSID,5,Shedd Aquarium
3081,1,PAST,6,Shedd Aquarium
3081,1,MCAV,40,Shedd Aquarium
3081,1,PPOR,8,Shedd Aquarium
3081,2,SINT,22,Shedd Aquarium
3081,2,MCAV,9,Shedd Aquarium
3081,2,SSID,6,Shedd Aquarium
3081,2,MCAV,10,Shedd Aquarium
3082,1,EFAS,6,Shedd Aquarium
3082,1,MCAV,32,Shedd Aquarium
3082,1,SINT,8,Shedd Aquarium
3082,1,SINT,10,Shedd Aquarium
3082,1,SSID,9,Shedd Aquarium
3082,1,SINT,10,Shedd Aquarium
3082,1,SSID,7,Shedd Aquarium
3082,1,MCAV,5,Shedd Aquarium
3082,1,MMEA,15,Shedd Aquarium
3082,1,PPOR,8,Shedd Aquarium
3082,1,SSID,12,Shedd Aquarium
3082,1,SSID,7,Shedd Aquarium
3082,1,MCAV,5,Shedd Aquarium
3082,2,PAST,8,Shedd Aquarium
3082,2,SBOU,12,Shedd Aquarium
3082,2,SSID,7,Shedd Aquarium
3082,2,SSID,7,Shedd Aquarium
3082,2,PSTR,4,Shedd Aquarium
3082,2,SINT,11,Shedd Aquarium
3082,2,SINT,4,Shedd Aquarium
3082,2,PAST,5,Shedd Aquarium
3082,2,SRAD,5,Shedd Aquarium
3082,2,SINT,12,Shedd Aquarium
3083,1,SBOU,5,Shedd Aquarium
3083,1,MCAV,6,Shedd Aquarium
3083,1,PAST,11,Shedd Aquarium
3083,1,MCAV,6,Shedd Aquarium
3083,1,PSTR,47,Shedd Aquarium
3083,1,PAST,6,Shedd Aquarium
3083,1,MCAV,5,Shedd Aquarium
3083,1,PAST,8,Shedd Aquarium
3083,1,SBOU,40,Shedd Aquarium
3083,1,SSID,16,Shedd Aquarium
3083,1,SSID,9,Shedd Aquarium
3083,1,PPOR,10,Shedd Aquarium
3083,1,SINT,6,Shedd Aquarium
3083,1,SRAD,5,Shedd Aquarium
3083,2,MCAV,9,Shedd Aquarium
3083,2,MCAV,5,Shedd Aquarium
3083,2,SSID,5,Shedd Aquarium
3083,2,DSTO,7,Shedd Aquarium
3083,2,SSID,4,Shedd Aquarium
3083,2,SRAD,4,Shedd Aquarium
3083,2,PPOR,5,Shedd Aquarium
3083,2,SINT,14,Shedd Aquarium
3083,2,PAST,10,Shedd Aquarium
3083,2,SINT,8,Shedd Aquarium
3084,1,SINT,12,Shedd Aquarium
3084,1,SSID,8,Shedd Aquarium
3084,1,PAST,11,Shedd Aquarium
3084,1,SSID,7,Shedd Aquarium
3084,1,PAST,7,Shedd Aquarium
3084,1,SINT,10,Shedd Aquarium
3084,1,SSID,6,Shedd Aquarium
3084,1,SSID,7,Shedd Aquarium
3084,1,PAST,19,Shedd Aquarium
3084,1,PAST,12,Shedd Aquarium
3084,2,PPOR,7,Shedd Aquarium
3084,2,DSTO,7,Shedd Aquarium
3084,2,PAST,4,Shedd Aquarium
3084,2,MCAV,5,Shedd Aquarium
3084,2,PPOR,6,Shedd Aquarium
3084,2,SRAD,4,Shedd Aquarium
3084,2,PAST,15,Shedd Aquarium
3084,2,SSID,20,Shedd Aquarium
3084,2,SSID,14,Shedd Aquarium
3084,2,SSID,4,Shedd Aquarium
3085,1,SSID,7,Shedd Aquarium
3085,1,SSID,7,Shedd Aquarium
3085,1,MALI,30,Shedd Aquarium
3085,1,SSID,12,Shedd Aquarium
3085,1,DSTO,5,Shedd Aquarium
3085,1,EFAS,9,Shedd Aquarium
3085,1,SSID,9,Shedd Aquarium
3085,1,SSID,6,Shedd Aquarium
3085,1,PSTR,12,Shedd Aquarium
3085,1,SSID,5,Shedd Aquarium
3085,2,SSID,7,Shedd Aquarium
3085,2,PSTR,5,Shedd Aquarium
3085,2,SBOU,5,Shedd Aquarium
3085,2,MDEC,15,Shedd Aquarium
3086,1,MCAV,7,Shedd Aquarium
3086,1,SSID,10,Shedd Aquarium
3086,1,SINT,5,Shedd Aquarium
3086,2,SINT,6,Shedd Aquarium
3086,2,SSID,10,Shedd Aquarium
3086,2,SSID,5,Shedd Aquarium
3086,2,SSID,9,Shedd Aquarium
3086,2,SSID,12,Shedd Aquarium
3086,2,PAST,5,Shedd Aquarium
3086,2,SINT,4,Shedd Aquarium
3086,2,PAST,11,Shedd Aquarium
3086,2,SSID,5,Shedd Aquarium
3086,2,PSTR,6,Shedd Aquarium
3086,2,MMEA,7,Shedd Aquarium
3086,2,SINT,6,Shedd Aquarium
3086,2,SSID,10,Shedd Aquarium
3086,2,PPOR,7,Shedd Aquarium
3086,2,SSID,8,Shedd Aquarium
3086,2,SSID,4,Shedd Aquarium
3087,1,MMEA,10,Shedd Aquarium
3087,1,SINT,6,Shedd Aquarium
3087,1,SSID,5,Shedd Aquarium
3087,1,MCAV,5,Shedd Aquarium
3087,2,SINT,7,Shedd Aquarium
3087,2,MCAV,23,Shedd Aquarium
3087,2,SSID,13,Shedd Aquarium
3087,2,SSID,4,Shedd Aquarium
3087,2,PPOR,7,Shedd Aquarium
